,PUMA,GQ,OWNERSHP,FAMSIZE,NCHILD,AGE,SEX,MARST,RACE,HISPAN,EDUC,INDNAICS,SECTOR,INCTOT,INCTOT_DECILE,POVERTY,DENSITY,VETDISAB,DIFFREM,DIFFPHYS,DIFFEYE,DIFFHEAR,HHWT,PERWT
1729817,30-600,1,1,4,0,9,2,6,1,0,1,       0,0,9999999,9,390,16.3,0,1,1,1,1,69.0,37.0
1729818,30-600,1,1,4,0,6,1,6,1,0,1,       0,0,9999999,9,390,16.3,0,1,1,1,1,69.0,85.0
1729829,30-600,1,1,5,3,29,2,1,1,0,6,491     ,49,33050,4,316,16.3,0,1,1,1,1,21.0,21.0
1729830,30-600,1,1,5,3,35,1,1,1,0,7,112     ,11,62000,6,316,16.3,0,1,1,1,1,21.0,14.0
1729831,30-600,1,1,5,0,9,2,6,1,0,1,       0,0,9999999,9,316,16.3,0,1,1,1,1,21.0,14.0
1729832,30-600,1,1,5,0,4,2,6,1,0,0,       0,0,9999999,9,316,16.3,0,0,0,1,1,21.0,17.0
1729833,30-600,1,1,5,0,0,2,6,1,0,0,       0,0,9999999,9,316,16.3,0,0,0,1,1,21.0,18.0
1729842,30-600,1,2,1,0,85,1,4,1,0,2,       0,0,8100,1,66,16.3,0,1,2,1,2,28.0,29.0
1729843,30-600,1,1,1,0,59,1,6,1,0,6,112     ,11,17500,3,134,16.3,0,1,1,1,1,45.0,45.0
1729851,30-600,1,1,2,0,60,1,1,1,0,6,112     ,11,375000,8,501,16.3,0,1,1,1,1,104.0,104.0
1729852,30-600,1,1,2,0,66,2,1,1,0,7,       0,0,10700,2,501,16.3,0,1,1,1,1,104.0,56.0
1729864,30-600,1,1,1,0,66,1,4,1,0,7,       0,0,80100,7,501,16.3,0,1,1,1,1,139.0,139.0
1729871,30-600,1,1,2,0,68,1,1,1,0,10,6111    ,61,37600,5,345,16.3,1,1,2,1,1,105.0,105.0
1729872,30-600,1,1,2,0,68,2,1,1,0,8,6111    ,61,15600,3,345,16.3,0,1,1,1,1,105.0,98.0
1729888,30-600,1,1,2,0,70,1,1,1,0,6,       0,0,37510,5,318,16.3,0,1,1,1,1,121.0,121.0
1729889,30-600,1,1,2,0,71,2,1,1,0,6,       0,0,11100,2,318,16.3,0,1,1,1,1,121.0,111.0
1729893,30-600,1,1,2,0,68,2,1,1,0,8,       0,0,31910,4,501,16.3,3,1,1,1,1,46.0,46.0
1729894,30-600,1,1,2,0,70,1,1,1,0,8,92M1    ,92,179900,8,501,16.3,1,1,1,1,1,46.0,50.0
1729961,30-600,1,1,6,1,53,2,1,1,0,10,6111    ,61,42000,5,365,16.3,0,1,1,1,1,18.0,18.0
1729962,30-600,1,1,6,1,54,1,1,1,0,7,332M    ,33,52000,6,365,16.3,0,1,1,1,1,18.0,20.0
1729963,30-600,1,1,6,1,21,2,6,1,0,6,6231    ,62,15000,2,365,16.3,0,1,1,1,1,18.0,16.0
1729964,30-600,1,1,6,0,6,2,6,1,0,1,       0,0,9999999,9,365,16.3,0,1,1,1,1,18.0,27.0
1729965,30-600,1,1,6,2,75,1,5,1,0,6,       0,0,12040,2,365,16.3,1,1,1,1,1,18.0,14.0
1729966,30-600,1,1,6,0,51,1,4,1,0,6,       0,0,12000,2,365,16.3,1,1,1,1,1,18.0,18.0
1729978,30-600,1,1,2,0,60,2,1,1,0,10,6111    ,61,56000,6,501,16.3,0,1,1,1,1,74.0,75.0
